Nom_Var,EPOQ,Espèce,LA,FR,Ordre,Famille,CodeFR
Esp_154,154,Red-tailed Hawk,Buteo jamaicensis ,Buse a queue rousse,Accipitriformes,Accipitridae,BUQR
Esp_345,345,Mourning dove,Zenaida macroura,Tourterelle triste,Columbiformes,Columbidae,TOTR
Esp_488,488,American crow,Corvus brachyrhynchos ,Corneille d Amerique,Passeriformes,Corvidae,COAM
Esp_495,495,Black-capped chickadee,Poecile atricapillus ,Mésange à tête noire,Passeriformes,Paridae,METN
Esp_539,539,American robin,Turdus migratorius ,Merle d Amerique,Passeriformes,Turdidae,MEAM
Esp_569,569,Common starling,Sturnus vulgaris,Etourneau sansonnet,Passeriformes,Sturnidae,ETSA
Esp_655,655,House sparrow,Passer domesticus ,Moineau domestique,Passeriformes,Passeridae,MODO
Esp_665,665,Red-winged blackbird,Agelaius phoeniceus,Carouge a epaulette,Passeriformes,Icteridae,CAEP
Esp_678,678,Common grackle,Quiscalus quiscula ,Quiscale bronze,Passeriformes,Icteridae,QUBR
Esp_725,725,Savannah sparrow,Passerculus sandwichensis,Bruant des pres,Passeriformes,Emberizidae,BRPR
Esp_770,770,Song sparrow,Melospiza melodia,Bruant chanteur,Passeriformes,Emberizidae,BRCH
Esp_478,478,Blue Jay,Cyanocitta cristata,Geai bleu,Passeriformes,Corvidae,GEBL
Esp_711,711,American goldfinch,Spinus tristis ,Chardonneret jaune,Passeriformes,Fringillidae,CHJA
Esp_753,753,Chipping sparrow,Spizella passerina,Bruant familier,Passeriformes,Emberizidae,BRFM
Esp_701,701,House finch,Haemorhous mexicanus ,Roselin familier,Passeriformes,Fringillidae,ROPO
Esp_687,687,Northern Cardinal,Cardinalis cardinalis,Cardinal rouge,Passeriformes,Cardinalidae,CARO
Esp_153,153,Cooper's Hawk,Accipiter cooperii ,Epervier de Cooper,Accipitriformes,Accipitridae,EPCO
Esp_408,408,Northern flicker,Colaptes auratus ,Pic flamboyant,Piciformes,Picidae,PIFL
Esp_529,529,Gray catbird,Dumetella carolinensis,Moqueur chat,Passeriformes,Mimidae,MOCH
Esp_565,565,Cedar waxwing,Bombycilla cedrorum,Jaseur d Amerique,Passeriformes,Bombycillidae,JAAM
Esp_582,582,Red-eyed vireo,Vireo olivaceus,Vireo aux yeux rouges,Passeriformes,Vireonidae,VIYR
Esp_584,584,Warbling vireo,Vireo gilvus ,Vireo melodieux,Passeriformes,Vireonidae,VIME
Esp_65,65,Green Heron,Butorides virescens ,Heron vert,Pelecaniformes,Ardeidae,HEVE
Esp_364,364,Great horned owl,Bubo virginianus,Grand duc d Amerique,Strigiformes,Strigidae,GDAM
Esp_615,615,Yellow warbler,Setophaga petechia ,Paruline jaune,Passeriformes,Parulidae,PAJA
Esp_637,637,Ovenbird,Seiurus aurocapilla ,Paruline couronnee,Passeriformes,Parulidae,PACO
